代码,名称,类型,调整天数,单阳日,现价
600063,皖维高新,强势型(优先),1,2026-04-07,7.16
000990,诚志股份,强势型(优先),1,2026-04-09,10.84
002491,通鼎互联,强势型(优先),1,2026-04-07,15.2
600110,诺德股份,强势型(优先),1,2026-04-07,9.82
002328,新朋股份,强势型(优先),1,2026-04-09,10.11
000917,电广传媒,强势型(优先),2,2026-04-08,9.73
603890,春秋电子,强势型(优先),2,2026-04-08,15.64
603989,艾华集团,强势型(优先),2,2026-04-08,18.74
603138,海量数据,强势型(优先),2,2026-04-08,19.8
603033,三维股份,强势型(优先),2,2026-04-03,11.36
002449,国星光电,强势型(优先),2,2026-04-08,8.12
002797,第一创业,强势型(优先),2,2026-04-08,7.81
002685,华东重机,强势型(优先),2,2026-04-08,7.76
600869,远东股份,强势型(优先),2,2026-04-08,15.6
002400,省广集团,强势型(优先),2,2026-04-08,8.63
002606,大连电瓷,强势型(优先),2,2026-04-08,11.9
600623,华谊集团,强势型(优先),3,2026-04-07,9.89
000695,滨海能源,强势型(优先),3,2026-04-07,13.45
002274,华昌化工,强势型(优先),3,2026-04-07,6.37
600056,中国医药,中势型(稳健),4,2026-04-03,10.97
603966,法兰泰克,中势型(稳健),4,2026-04-03,13.63
002560,通达股份,中势型(稳健),5,2026-04-02,13.57
