代码,名称,收盘价,信号强度,历史回测胜率,回测信号数,操作建议,战法逻辑
002631,德尔未来,6.79,100%,71.4%,7,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002350,北京科锐,13.52,100%,55.6%,9,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603977,国泰集团,15.24,100%,42.9%,7,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600054,黄山旅游,13.61,100%,20.0%,10,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600769,祥龙电业,13.72,100%,20.0%,5,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
600886,国投电力,14.51,100%,100.0%,2,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
002575,群兴玩具,8.0,100%,100.0%,3,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
605366,宏柏新材,10.25,100%,100.0%,4,【一击必中】重点关注，高胜率回踩,MACD水上+地量回踩均线
601528,瑞丰银行,5.58,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
603777,来伊份,13.16,100%,0.0%,3,【试错观察】形态完美但历史股性一般,MACD水上+地量回踩均线
